4th Quarter,,
10:00,Start Period,
9:41,Stoppage: Out-of-Bounds,
9:38,Sparks,1
,[LAS] Samuelson Foul: Shooting (2 PF) (2 FTA),
9:38,Sun,1
,[CON 55-51] Laney Free Throw 1 of 2 (6 PTS),
9:38,Sun,
,[CON 56-51] Laney Free Throw 2 of 2 (7 PTS),
9:22,Sparks,1
,[LAS 53-56] Ogwumike Driving Layup Shot: Made (10 PTS),
9:08,Sun,1
,[CON 58-53] Laney Driving Layup Shot: Made (9 PTS),
8:52,Sparks,1
,[LAS] Ogwumike Turnover : Lost Ball (1 TO) Steal:Ogwumike (2 ST),
8:45,Sun,1
,[CON 60-53] Ogwumike Running Layup Shot: Made (17 PTS) Assist: Bentley (3 AST),
8:30,Sun,
,[CON] Tuck Foul: Personal (1 PF),
8:30,Sparks,1
,[LAS] Sims Substitution replaced by Beard,
8:30,Sparks,
,[LAS] Williams Substitution replaced by Carson,
8:30,Sparks,
,[LAS] Samuelson Substitution replaced by Gray,
8:21,Sun,
,[CON] Ogwumike Foul: Personal (4 PF),
8:21,Sun,
,[CON] Ogwumike Substitution replaced by Jones,
8:10,Sparks,1
,[LAS] Lavender Turnover : Out of Bounds Lost Ball Turnover (2 TO),
7:58,Sparks,
,[LAS] Lavender Foul: Personal (2 PF),
7:58,Sparks,
,[LAS] Lavender Substitution replaced by Parker,
7:51,Sun,1
,[CON] Laney 3pt Shot: Missed,
7:48,Sparks,1
,[LAS] Gray Rebound (Off:1 Def:3),
7:44,Sparks,
,[LAS] Carson 3pt Shot: Missed,
7:44,Sparks,
,[LAS] Carson Rebound (Off:1 Def:1),
7:37,Sparks,
,[LAS] Parker 3pt Shot: Missed,
7:35,Sparks,
,[LAS] Ogwumike Rebound (Off:1 Def:3),
7:35,Sparks,
,[LAS 55-60] Ogwumike Putback Layup Shot: Made (12 PTS),
7:35,Sun,
,[CON] Jones Foul: Shooting (2 PF) (1 FTA),
7:35,Sparks,1
,[LAS 56-60] Ogwumike Free Throw 1 of 1 (13 PTS),
7:18,Sun,1
