,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,KC,KI,MD,MS,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TC,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD,XY
11,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.91,160.5,0.83,,,,,,,,,,,,,,,,,,,,,,0.0,,1,10.0,,0.0,0,,,,1.7,0.47,
12,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.91,160.5,0.83,,,,,,,,,,,,,,,,,,,,,,0.0,,1,10.0,,0.0,0,,,,1.7,0.47,
13,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.91,160.5,0.83,,,,,,,,,,,,,,,,,,,,,,1.0,,1,10.0,,0.0,0,,,,1.7,0.47,
14,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.91,160.5,0.83,,,,,,,,,,,,,,,,,,,,,,1.0,,1,10.0,,0.0,0,,,,1.7,0.47,
15,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.91,160.5,0.83,,,,,,,,,,,,,,,,,,,,,,1.0,,1,10.0,,0.0,0,,,,1.7,0.47,
16,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.91,160.5,0.83,,,,,,,,,,,,,,,,,,,,,,1.0,,1,10.0,,0.0,0,,,,1.7,0.47,
17,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.91,160.5,0.83,,,,,,,,,,,,,,,,,,,,,,1.0,,1,10.0,,0.0,0,,,,1.7,0.47,
18,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.91,160.5,0.83,,,,,,,,,,,,,,,,,,,,,,1.0,,1,10.0,,0.0,0,,,,1.7,0.47,
19,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.91,160.5,0.83,,,,,,,,,,,,,,,,,,,,,,0.0,,1,10.0,,0.0,0,,,,1.7,0.47,
20,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.91,160.5,0.83,,,,,,,,,,,,,,,,,,,,,,0.0,,1,10.0,,0.0,0,,,,1.7,0.47,
21,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.91,160.5,0.83,,,,,,,,,,,,,,,,,,,,,,0.0,,1,10.0,,0.0,0,,,,1.7,0.47,
22,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.91,160.5,0.83,,,,,,,,,,,,,,,,,,,,,,0.0,,1,10.0,,0.0,0,,,,1.7,0.47,
23,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.91,160.5,0.83,,,,,,,,,,,,,,,,,,,,,,0.0,,1,10.0,,0.0,0,,,,1.7,0.47,
24,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.91,160.5,0.83,,,,,,,,,,,,,,,,,,,,,,0.0,,1,10.0,,0.0,0,,,,1.7,0.47,
25,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.91,160.5,0.83,,,,,,,,,,,,,,,,,,,,,,1.0,,1,10.0,,0.0,0,,,,1.7,0.47,
26,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.91,160.5,0.83,,,,,,,,,,,,,,,,,,,,,,1.0,,1,10.0,,0.0,0,,,,1.7,0.47,
27,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.91,160.5,0.83,,,,,,,,,,,,,,,,,,,,,,1.0,,1,10.0,,0.0,0,,,,1.7,0.47,
28,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.91,160.5,0.83,,,,,,,,,,,,,,,,,,,,,,1.0,,1,10.0,,0.0,0,,,,1.7,0.47,
29,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.91,160.5,0.83,,,,,,,,,,,,,,,,,,,,,,1.0,,1,10.0,,0.0,0,,,,1.7,0.47,
30,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.91,160.5,0.83,,,,,,,,,,,,,,,,,,,,,,1.0,,1,10.0,,0.0,0,,,,1.7,0.47,
31,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.91,160.5,0.83,,,,,,,,,,,,,,,,,,,,,,0.0,,1,10.0,,0.0,0,,,,1.7,0.47,
32,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.91,160.5,0.83,,,,,,,,,,,,,,,,,,,,,,0.0,,1,10.0,,0.0,0,,,,1.7,0.47,
33,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.91,160.5,0.83,,,,,,,,,,,,,,,,,,,,,,0.0,,1,10.0,,0.0,0,,,,1.7,0.47,
34,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.91,160.5,0.83,,,,,,,,,,,,,,,,,,,,,,0.0,,1,10.0,,0.0,0,,,,1.7,0.47,
35,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.91,160.5,0.83,,,,,,,,,,,,,,,,,,,,,,0.0,,1,10.0,,0.0,0,,,,1.7,0.47,
36,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.91,160.5,0.83,,"#FFDF1B,#FBED32,#FFDF1B,#FBED32,#C40010,#0046A8,#3D4A4E",0.0,,9303540.0,,,,,,,,,,,,,,,,,0.0,#FFDF1B,1,10.0,,0.0,0,,,,1.7,0.47,
37,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.91,160.5,0.83,,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",0.0,,9303540.0,,,,,,,,,,,,,,,,,1.0,#679FEA,1,10.0,,0.0,0,,,,1.7,0.47,
38,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.91,160.5,0.83,,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",0.0,,9303540.0,,,,,,,,,,,,,,,,,1.0,#679FEA,1,10.0,,0.0,0,,,,1.7,0.47,
39,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.91,160.5,0.83,,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",0.0,,9303540.0,,,,,,,,,,,,,,,,,1.0,#679FEA,1,10.0,,0.0,0,,,,1.7,0.47,
40,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.91,160.5,0.83,,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",0.0,,9303540.0,,,,,,,,,,,,,,,,,1.0,#679FEA,1,10.0,,0.0,0,,,,1.7,0.47,
41,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.91,160.5,0.83,,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",0.0,,9303540.0,,,,,,,,,,,,,,,,,1.0,#679FEA,1,10.0,,0.0,0,,,,1.7,0.47,
42,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.91,160.5,0.83,,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,,9303540.0,,,,,,,,,,,,,,,,,1.0,#679FEA,1,10.0,,0.0,0,,,,1.7,0.47,
43,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.91,160.5,0.83,,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,,9303540.0,,,,,,,,,,,,,,,,,0.0,#679FEA,1,10.0,,0.0,0,,,,1.7,0.47,
44,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.91,160.5,0.83,,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,,9303540.0,,,,,,,,,,,,,,,,,0.0,#679FEA,1,10.0,,0.0,0,,,,1.7,0.47,
45,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.91,160.5,0.83,,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,,9303540.0,,,,,,,,,,,,,,,,,0.0,#679FEA,1,10.0,,0.0,0,,,,1.7,0.47,
46,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.91,160.5,0.83,,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,,9303540.0,,,,,,,,,,,,,,,,,0.0,#679FEA,1,10.0,,0.0,0,,,,1.7,0.47,
47,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.91,160.5,0.83,,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,,9303540.0,,,,,,,,,,,,,,,,,0.0,#679FEA,1,10.0,,0.0,0,,,,1.7,0.47,
48,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.91,160.5,0.83,,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,1.0,9303540.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,0.0,#679FEA,1,10.0,GD,0.0,0,,1087.0,,1.7,0.47,
49,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.91,160.5,0.83,,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,1.0,9303540.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,2.0,0.0,#679FEA,1,10.0,GD,0.0,0,,21077.0,,1.7,0.47,
50,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.91,160.5,0.83,,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,1.0,9303540.0,,,0.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,2.0,0.0,#679FEA,1,10.0,GD,0.0,0,,21074.0,,1.7,0.47,"0.23,0.53"
51,,,,第1节,4.5,0.87,-4.5,0.87,160.5,0.91,160.5,0.83,,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,1.0,9303540.0,,,0.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,#679FEA,1,9.0,GD,37.0,0,,11077.0,,1.7,0.47,
52,,,,第1节,4.5,0.91,-3.5,0.83,160.5,0.91,160.5,0.83,-3.5,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,1.0,9303540.0,,,0.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,#679FEA,1,9.0,GD,37.0,0,,11077.0,,1.7,0.47,
53,,,,第1节,3.5,0.91,-3.5,0.83,160.5,0.91,161.5,0.87,3.5,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,1.0,9303540.0,,,0.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,#679FEA,1,9.0,GD,37.0,0,,11077.0,,1.7,0.47,
54,,,,第1节,3.5,0.91,-3.5,0.83,161.5,0.87,161.5,0.87,161.5,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,1.0,9303540.0,,,0.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,#679FEA,1,9.0,GD,37.0,0,,11077.0,,1.7,0.47,
55,,,,第1节,3.5,0.91,-3.5,0.83,161.5,0.87,161.5,0.87,161.5,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,1.0,9303540.0,,,0.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,#679FEA,1,9.0,GD,37.0,0,,11077.0,,0.0,0.0,
56,,,,第1节,3.5,0.91,-3.5,0.83,161.5,0.87,161.5,0.87,161.5,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,1.0,9303540.0,,,0.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,#679FEA,1,9.0,GD,37.0,0,,11077.0,,0.0,0.0,
57,,,,第1节,3.5,0.91,-3.5,0.83,161.5,0.87,161.5,0.87,161.5,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,1.0,9303540.0,,,0.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,#679FEA,1,9.0,GD,37.0,0,,11077.0,,0.0,0.0,
58,,,,第1节,3.5,0.91,-3.5,0.83,161.5,0.87,161.5,0.87,161.5,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,1.0,9303540.0,,,0.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,#679FEA,1,9.0,GD,37.0,0,,11077.0,,0.0,0.0,
59,,,,第1节,3.5,0.91,-3.5,0.83,161.5,0.87,161.5,0.87,161.5,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,1.0,9303540.0,,,0.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,#679FEA,1,9.0,GD,37.0,0,,11077.0,,0.0,0.0,
60,,,,第1节,3.5,0.91,-3.5,0.83,161.5,0.87,161.5,0.87,161.5,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,1.0,9303540.0,,,0.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,#679FEA,1,9.0,GD,10.0,0,,11077.0,,0.0,0.0,
61,,,,第1节,3.5,0.91,-3.5,0.83,161.5,0.87,161.5,0.87,161.5,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,1.0,9303540.0,,,0.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,#679FEA,1,9.0,GD,10.0,0,,11074.0,,0.0,0.0,
62,,,,第1节,3.5,0.91,-3.5,0.83,161.5,0.87,161.5,0.87,161.5,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,1.0,9303540.0,,,0.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,#679FEA,1,9.0,GD,10.0,0,,21077.0,,0.0,0.0,
63,,,,第1节,3.5,0.87,-4.5,0.87,161.5,0.87,161.5,0.87,-4.5,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,1.0,9303540.0,,,0.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,#679FEA,1,9.0,GD,10.0,0,,21077.0,,0.0,0.0,
64,,,,第1节,4.5,0.87,-4.5,0.87,161.5,0.87,158.5,0.91,4.5,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,1.0,9303540.0,,,0.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,#679FEA,1,9.0,GD,10.0,0,,21077.0,,0.0,0.0,
65,,,,第1节,4.5,0.87,-4.5,0.87,158.5,0.83,158.5,0.91,158.5,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,1.0,9303540.0,,,0.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,#679FEA,1,9.0,GD,10.0,0,,21077.0,,0.0,0.0,
66,,,,第1节,4.5,0.87,-4.5,0.87,158.5,0.83,158.5,0.91,158.5,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,1.0,9303540.0,,,0.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,#679FEA,1,8.0,GD,26.0,0,,21077.0,,0.0,0.0,
67,,,,第1节,4.5,0.87,-4.5,0.87,158.5,0.83,158.5,0.91,158.5,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,1.0,9303540.0,,,0.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,#679FEA,1,8.0,GD,26.0,0,,21077.0,,0.0,0.0,
68,,,,第1节,4.5,0.87,-4.5,0.87,158.5,0.83,158.5,0.91,158.5,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,1.0,9303540.0,,,0.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,#679FEA,1,8.0,GD,22.0,0,,21077.0,,0.0,0.0,
69,,,,第1节,4.5,0.87,-4.5,0.87,158.5,0.83,158.5,0.91,158.5,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,1.0,9303540.0,,,0.0,1.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,#679FEA,1,8.0,GD,22.0,0,,21075.0,,0.0,0.0,
70,,,,第1节,4.5,0.87,-4.5,0.87,158.5,0.83,158.5,0.91,158.5,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,1.0,9303540.0,,,0.0,1.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,#679FEA,1,8.0,GD,22.0,0,,11077.0,,0.0,0.0,
71,,,,第1节,4.5,0.87,-3.5,0.87,158.5,0.83,158.5,0.91,-3.5,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,1.0,9303540.0,,,0.0,1.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,#679FEA,1,8.0,GD,22.0,0,,11077.0,,0.0,0.0,
72,,,,第1节,3.5,0.87,-3.5,0.87,158.5,0.83,161.5,0.87,3.5,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,1.0,9303540.0,,,0.0,1.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,#679FEA,1,8.0,GD,22.0,0,,11077.0,,0.0,0.0,
73,,,,第1节,3.5,0.87,-3.5,0.87,161.5,0.87,161.5,0.87,161.5,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,1.0,9303540.0,,,0.0,1.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,#679FEA,1,8.0,GD,22.0,0,,11077.0,,0.0,0.0,
74,,,,第1节,3.5,0.87,-3.5,0.87,161.5,0.87,161.5,0.87,161.5,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,1.0,9303540.0,,,0.0,1.0,1.0,2.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,5.0,7.0,1.0,#679FEA,1,8.0,GD,22.0,0,,21074.0,,0.0,0.0,
75,,,,第1节,3.5,0.87,-3.5,0.87,161.5,0.87,161.5,0.87,161.5,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,1.0,9303540.0,,,0.0,1.0,1.0,2.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,5.0,7.0,1.0,#679FEA,1,8.0,GD,18.0,0,,11077.0,,0.0,0.0,
76,,,,第1节,3.5,0.87,-3.5,0.87,161.5,0.87,161.5,0.87,161.5,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,1.0,9303540.0,,,0.0,1.0,1.0,2.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,#679FEA,1,8.0,GD,18.0,0,,11077.0,,0.0,0.0,
77,,,,第1节,3.5,0.91,-2.5,0.83,161.5,0.87,161.5,0.87,-2.5,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,1.0,9303540.0,,,0.0,1.0,1.0,2.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,#679FEA,1,8.0,GD,18.0,0,,11077.0,,0.0,0.0,
78,,,,第1节,2.5,0.91,-2.5,0.83,161.5,0.87,163.5,0.87,2.5,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,1.0,9303540.0,,,0.0,1.0,1.0,2.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,#679FEA,1,8.0,GD,18.0,0,,11077.0,,0.0,0.0,
79,,,,第1节,2.5,0.91,-2.5,0.83,163.5,0.87,163.5,0.87,163.5,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,1.0,9303540.0,,,0.0,1.0,1.0,2.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,#679FEA,1,8.0,GD,18.0,0,,11077.0,,0.0,0.0,
80,,,,第1节,2.5,0.91,-2.5,0.83,161.5,0.87,163.5,0.87,163.5,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,1.0,9303540.0,,,0.0,1.0,1.0,2.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,#679FEA,1,8.0,GD,18.0,0,,11077.0,,0.0,0.0,
81,,,,第1节,2.5,0.91,-2.5,0.83,163.5,0.87,163.5,0.87,161.5,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,1.0,9303540.0,,,0.0,1.0,1.0,2.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,#679FEA,1,8.0,GD,18.0,0,,11077.0,,0.0,0.0,
82,,,,第1节,2.5,0.91,-2.5,0.83,163.5,0.87,163.5,0.87,163.5,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,1.0,9303540.0,,,0.0,1.0,1.0,2.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,#679FEA,1,8.0,GD,6.0,0,,11077.0,,0.0,0.0,
83,,,,第1节,2.5,0.91,-2.5,0.83,163.5,0.87,163.5,0.87,163.5,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,1.0,9303540.0,,,0.0,1.0,1.0,3.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,7.0,9.0,1.0,#679FEA,1,8.0,GD,6.0,0,,21074.0,,0.0,0.0,
84,,,,第1节,2.5,0.91,-2.5,0.83,163.5,0.87,163.5,0.87,163.5,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,1.0,9303540.0,,,0.0,1.0,1.0,3.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,9.0,2.0,1.0,#679FEA,1,8.0,GD,6.0,0,,11077.0,,0.0,0.0,
85,,,,第1节,2.5,0.91,-2.5,0.83,163.5,0.87,163.5,0.87,163.5,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,1.0,9303540.0,,,0.0,1.0,1.0,3.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,9.0,2.0,1.0,#679FEA,1,7.0,GD,59.0,0,,11077.0,,0.0,0.0,
86,,,,第1节,2.5,0.87,-2.5,0.87,164.5,0.87,164.5,0.87,164.5,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,1.0,9303540.0,,,0.0,1.0,1.0,3.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,9.0,2.0,1.0,#679FEA,1,7.0,GD,59.0,0,,11077.0,,0.0,0.0,
87,,,,第1节,2.5,0.87,-2.5,0.87,164.5,0.87,164.5,0.87,164.5,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,1.0,9303540.0,,,0.0,1.0,1.0,3.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,9.0,2.0,1.0,#679FEA,1,7.0,GD,36.0,0,,11077.0,,1.3,0.63,
88,,,,第1节,2.5,0.83,-2.5,0.91,162.5,0.87,162.5,0.87,162.5,"#679FEA,#679FEA,#679FEA,#679FEA,#C40010,#0046A8,#3D4A4E",1.0,1.0,9303540.0,,,0.0,1.0,1.0,3.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,9.0,2.0,1.0,#679FEA,1,7.0,GD,36.0,0,,11077.0,,1.3,0.63,
